Time,A metric
2023-08-08 00:00,1
2023-08-08 00:01,1
2023-08-08 00:02,1
2023-08-08 00:03,2
2023-08-08 00:04,3
2023-08-08 00:05,1
2023-08-08 00:06,1
2023-08-08 00:07,6
2023-08-08 00:08,4
2023-08-08 00:09,2
2023-08-08 00:10,1
2023-08-08 00:11,1
2023-08-08 00:12,2
2023-08-08 00:13,1
2023-08-08 00:14,2
2023-08-08 00:15,3
2023-08-08 00:16,1
2023-08-08 00:17,4
2023-08-08 00:18,7
2023-08-08 00:19,4
2023-08-08 00:20,2
2023-08-08 00:21,1
2023-08-08 00:22,3
2023-08-08 00:23,2
2023-08-08 00:24,1
2023-08-08 00:25,1
2023-08-08 00:26,2
2023-08-08 00:27,2
2023-08-08 00:28,3
2023-08-08 00:29,2
2023-08-08 00:30,1
2023-08-08 00:31,1
2023-08-08 00:32,3
2023-08-08 00:33,2
2023-08-08 00:34,1
2023-08-08 00:35,1
2023-08-08 00:36,3
2023-08-08 00:37,2
2023-08-08 00:38,1
2023-08-08 00:39,1
2023-08-08 00:40,2
2023-08-08 00:41,2
2023-08-08 00:42,2
2023-08-08 00:43,1
2023-08-08 00:44,1
2023-08-08 00:45,4
2023-08-08 00:46,1
2023-08-08 00:47,1
2023-08-08 00:48,1
2023-08-08 00:49,1
2023-08-08 00:50,1
2023-08-08 00:51,2
2023-08-08 00:52,1
2023-08-08 00:53,1
2023-08-08 00:54,1
2023-08-08 00:55,1
2023-08-08 00:56,1
2023-08-08 00:57,2
2023-08-08 00:58,4
2023-08-08 00:59,5
2023-08-08 01:00,7
2023-08-08 01:01,4
2023-08-08 01:02,2
2023-08-08 01:03,2
2023-08-08 01:04,1
2023-08-08 01:05,1
2023-08-08 01:06,2
2023-08-08 01:07,4
2023-08-08 01:08,3
2023-08-08 01:09,3
2023-08-08 01:10,2
2023-08-08 01:11,1
2023-08-08 01:12,2
2023-08-08 01:13,3
2023-08-08 01:14,2
2023-08-08 01:15,2
2023-08-08 01:16,2
2023-08-08 01:17,2
2023-08-08 01:18,2
2023-08-08 01:19,2
2023-08-08 01:20,2
2023-08-08 01:21,2
2023-08-08 01:22,2
2023-08-08 01:23,1
2023-08-08 01:24,1
2023-08-08 01:25,4
2023-08-08 01:26,2
2023-08-08 01:27,1
2023-08-08 01:28,4
2023-08-08 01:29,2
2023-08-08 01:30,1
2023-08-08 01:31,1
2023-08-08 01:32,1
2023-08-08 01:33,1
2023-08-08 01:34,1
2023-08-08 01:35,1
2023-08-08 01:36,1
2023-08-08 01:37,1
2023-08-08 01:38,2
2023-08-08 01:39,1
2023-08-08 01:40,2
2023-08-08 01:41,1
2023-08-08 01:42,1
2023-08-08 01:43,1
2023-08-08 01:44,1
2023-08-08 01:45,1
2023-08-08 01:46,1
2023-08-08 01:47,1
2023-08-08 01:48,2
2023-08-08 01:49,1
2023-08-08 01:50,1
2023-08-08 01:51,4
2023-08-08 01:52,2
2023-08-08 01:53,1
2023-08-08 01:54,1
2023-08-08 01:55,1
2023-08-08 01:56,1
2023-08-08 01:57,3
2023-08-08 01:58,3
2023-08-08 01:59,3
2023-08-08 02:00,2
2023-08-08 02:01,1
2023-08-08 02:02,5
2023-08-08 02:03,3
2023-08-08 02:04,1
2023-08-08 02:05,1
2023-08-08 02:06,1
2023-08-08 02:07,1
2023-08-08 02:08,1
2023-08-08 02:09,1
2023-08-08 02:10,1
2023-08-08 02:11,3
2023-08-08 02:12,2
2023-08-08 02:13,2
2023-08-08 02:14,3
2023-08-08 02:15,2
2023-08-08 02:16,1
2023-08-08 02:17,1
2023-08-08 02:18,1
2023-08-08 02:19,1
2023-08-08 02:20,1
2023-08-08 02:21,1
2023-08-08 02:22,1
2023-08-08 02:23,1
2023-08-08 02:24,1
2023-08-08 02:25,1
2023-08-08 02:26,3
2023-08-08 02:27,2
2023-08-08 02:28,1
2023-08-08 02:29,1
2023-08-08 02:30,1
2023-08-08 02:31,1
2023-08-08 02:32,1
2023-08-08 02:33,3
2023-08-08 02:34,1
2023-08-08 02:35,3
2023-08-08 02:36,1
2023-08-08 02:37,1
2023-08-08 02:38,1
2023-08-08 02:39,3
2023-08-08 02:40,3
2023-08-08 02:41,1
2023-08-08 02:42,2
2023-08-08 02:43,1
2023-08-08 02:44,2
2023-08-08 02:45,1
2023-08-08 02:46,1
2023-08-08 02:47,1
2023-08-08 02:48,1
2023-08-08 02:49,1
2023-08-08 02:50,5
2023-08-08 02:51,1
2023-08-08 02:52,1
2023-08-08 02:53,1
2023-08-08 02:54,4
2023-08-08 02:55,3
2023-08-08 02:56,2
2023-08-08 02:57,1
2023-08-08 02:58,1
2023-08-08 02:59,1
2023-08-08 03:00,1
2023-08-08 03:01,1
2023-08-08 03:02,1
2023-08-08 03:03,1
2023-08-08 03:04,1
2023-08-08 03:05,1
2023-08-08 03:06,1
2023-08-08 03:07,1
2023-08-08 03:08,1
2023-08-08 03:09,2
2023-08-08 03:10,2
2023-08-08 03:11,2
2023-08-08 03:12,1
2023-08-08 03:13,1
2023-08-08 03:14,1
2023-08-08 03:15,1
2023-08-08 03:16,1
2023-08-08 03:17,1
2023-08-08 03:18,1
2023-08-08 03:19,1
2023-08-08 03:20,1
2023-08-08 03:21,1
2023-08-08 03:22,1
2023-08-08 03:23,2
2023-08-08 03:24,1
2023-08-08 03:25,1
2023-08-08 03:26,1
2023-08-08 03:27,2
2023-08-08 03:28,1
2023-08-08 03:29,1
2023-08-08 03:30,1
2023-08-08 03:31,2
2023-08-08 03:32,1
2023-08-08 03:33,1
2023-08-08 03:34,1
2023-08-08 03:35,1
2023-08-08 03:36,1
2023-08-08 03:37,1
2023-08-08 03:38,1
2023-08-08 03:39,2
2023-08-08 03:40,2
2023-08-08 03:41,2
2023-08-08 03:42,1
2023-08-08 03:43,1
2023-08-08 03:44,1
2023-08-08 03:45,1
2023-08-08 03:46,1
2023-08-08 03:47,3
2023-08-08 03:48,2
2023-08-08 03:49,2
2023-08-08 03:50,2
2023-08-08 03:51,2
2023-08-08 03:52,1
2023-08-08 03:53,1
2023-08-08 03:54,1
2023-08-08 03:55,1
2023-08-08 03:56,1
2023-08-08 03:57,2
2023-08-08 03:58,1
2023-08-08 03:59,1
2023-08-08 04:00,1
2023-08-08 04:01,1
2023-08-08 04:02,1
2023-08-08 04:03,1
2023-08-08 04:04,1
2023-08-08 04:05,1
2023-08-08 04:06,4
2023-08-08 04:07,2
2023-08-08 04:08,1
2023-08-08 04:09,1
2023-08-08 04:10,3
2023-08-08 04:11,2
2023-08-08 04:12,1
2023-08-08 04:13,3
2023-08-08 04:14,1
2023-08-08 04:15,2
2023-08-08 04:16,1
2023-08-08 04:17,1
2023-08-08 04:18,1
2023-08-08 04:19,1
2023-08-08 04:20,1
2023-08-08 04:21,1
2023-08-08 04:22,1
2023-08-08 04:23,1
2023-08-08 04:24,4
2023-08-08 04:25,7
2023-08-08 04:26,1
2023-08-08 04:27,2
2023-08-08 04:28,2
2023-08-08 04:29,1
2023-08-08 04:30,1
2023-08-08 04:31,1
2023-08-08 04:32,1
2023-08-08 04:33,6
2023-08-08 04:34,3
2023-08-08 04:35,3
2023-08-08 04:36,1
2023-08-08 04:37,1
2023-08-08 04:38,1
2023-08-08 04:39,1
2023-08-08 04:40,5
2023-08-08 04:41,2
2023-08-08 04:42,1
2023-08-08 04:43,1
2023-08-08 04:44,1
2023-08-08 04:45,1
2023-08-08 04:46,3
2023-08-08 04:47,1
2023-08-08 04:48,1
2023-08-08 04:49,1
2023-08-08 04:50,1
2023-08-08 04:51,1
2023-08-08 04:52,1
2023-08-08 04:53,1
2023-08-08 04:54,1
2023-08-08 04:55,1
2023-08-08 04:56,2
2023-08-08 04:57,1
2023-08-08 04:58,1
2023-08-08 04:59,1
2023-08-08 05:00,1
2023-08-08 05:01,1
2023-08-08 05:02,1
2023-08-08 05:03,1
2023-08-08 05:04,1
2023-08-08 05:05,1
2023-08-08 05:06,1
2023-08-08 05:07,1
2023-08-08 05:08,1
2023-08-08 05:09,1
2023-08-08 05:10,1
2023-08-08 05:11,1
2023-08-08 05:12,1
2023-08-08 05:13,1
2023-08-08 05:14,1
2023-08-08 05:15,2
2023-08-08 05:16,1
2023-08-08 05:17,2
2023-08-08 05:18,1
2023-08-08 05:19,2
2023-08-08 05:20,1
2023-08-08 05:21,1
2023-08-08 05:22,1
2023-08-08 05:23,1
2023-08-08 05:24,1
2023-08-08 05:25,1
2023-08-08 05:26,2
2023-08-08 05:27,1
2023-08-08 05:28,2
2023-08-08 05:29,1
2023-08-08 05:30,1
2023-08-08 05:31,1
2023-08-08 05:32,5
2023-08-08 05:33,3
2023-08-08 05:34,1
2023-08-08 05:35,3
2023-08-08 05:36,2
2023-08-08 05:37,1
2023-08-08 05:38,1
2023-08-08 05:39,1
2023-08-08 05:40,1
2023-08-08 05:41,1
2023-08-08 05:42,2
2023-08-08 05:43,2
2023-08-08 05:44,1
2023-08-08 05:45,1
2023-08-08 05:46,1
2023-08-08 05:47,1
2023-08-08 05:48,1
2023-08-08 05:49,1
2023-08-08 05:50,2
2023-08-08 05:51,1
2023-08-08 05:52,2
2023-08-08 05:53,1
2023-08-08 05:54,1
2023-08-08 05:55,2
2023-08-08 05:56,1
2023-08-08 05:57,1
2023-08-08 05:58,1
2023-08-08 05:59,4
2023-08-08 06:00,1
2023-08-08 06:01,3
2023-08-08 06:02,2
2023-08-08 06:03,1
2023-08-08 06:04,1
2023-08-08 06:05,1
2023-08-08 06:06,1
2023-08-08 06:07,1
2023-08-08 06:08,1
2023-08-08 06:09,1
2023-08-08 06:10,1
2023-08-08 06:11,1
2023-08-08 06:12,1
2023-08-08 06:13,1
2023-08-08 06:14,1
2023-08-08 06:15,2
2023-08-08 06:16,2
2023-08-08 06:17,1
2023-08-08 06:18,3
2023-08-08 06:19,2
2023-08-08 06:20,1
2023-08-08 06:21,1
2023-08-08 06:22,1
2023-08-08 06:23,4
2023-08-08 06:24,4
2023-08-08 06:25,4
2023-08-08 06:26,3
2023-08-08 06:27,2
2023-08-08 06:28,7
2023-08-08 06:29,4
2023-08-08 06:30,2
2023-08-08 06:31,1
2023-08-08 06:32,1
2023-08-08 06:33,1
2023-08-08 06:34,2
2023-08-08 06:35,1
2023-08-08 06:36,1
2023-08-08 06:37,1
2023-08-08 06:38,1
2023-08-08 06:39,1
2023-08-08 06:40,1
2023-08-08 06:41,2
2023-08-08 06:42,1
2023-08-08 06:43,1
2023-08-08 06:44,8
2023-08-08 06:45,1
2023-08-08 06:46,1
2023-08-08 06:47,2
2023-08-08 06:48,1
2023-08-08 06:49,1
2023-08-08 06:50,2
2023-08-08 06:51,1
2023-08-08 06:52,1
2023-08-08 06:53,2
2023-08-08 06:54,5
2023-08-08 06:55,5
2023-08-08 06:56,3
2023-08-08 06:57,1
2023-08-08 06:58,3
2023-08-08 06:59,6
2023-08-08 07:00,4
2023-08-08 07:01,2
2023-08-08 07:02,3
2023-08-08 07:03,3
2023-08-08 07:04,2
2023-08-08 07:05,1
2023-08-08 07:06,1
2023-08-08 07:07,1
2023-08-08 07:08,1
2023-08-08 07:09,1
2023-08-08 07:10,1
2023-08-08 07:11,1
2023-08-08 07:12,1
2023-08-08 07:13,1
2023-08-08 07:14,1
2023-08-08 07:15,1
2023-08-08 07:16,1
2023-08-08 07:17,1
2023-08-08 07:18,4
2023-08-08 07:19,2
2023-08-08 07:20,2
2023-08-08 07:21,1
2023-08-08 07:22,1
2023-08-08 07:23,1
2023-08-08 07:24,1
2023-08-08 07:25,6
2023-08-08 07:26,10
2023-08-08 07:27,14
2023-08-08 07:28,10
2023-08-08 07:29,7
2023-08-08 07:30,5
2023-08-08 07:31,4
2023-08-08 07:32,3
2023-08-08 07:33,2
2023-08-08 07:34,4
2023-08-08 07:35,2
2023-08-08 07:36,2
2023-08-08 07:37,2
2023-08-08 07:38,17
2023-08-08 07:39,9
2023-08-08 07:40,1
2023-08-08 07:41,1
2023-08-08 07:42,1
2023-08-08 07:43,8
2023-08-08 07:44,6
2023-08-08 07:45,5
2023-08-08 07:46,4
2023-08-08 07:47,1
2023-08-08 07:48,1
2023-08-08 07:49,1
2023-08-08 07:50,1
2023-08-08 07:51,1
2023-08-08 07:52,2
2023-08-08 07:53,5
2023-08-08 07:54,7
2023-08-08 07:55,10
2023-08-08 07:56,10
2023-08-08 07:57,14
2023-08-08 07:58,8
2023-08-08 07:59,1
2023-08-08 08:00,5
2023-08-08 08:01,10
2023-08-08 08:02,6
2023-08-08 08:03,3
2023-08-08 08:04,2
2023-08-08 08:05,2
2023-08-08 08:06,2
2023-08-08 08:07,1
2023-08-08 08:08,1
2023-08-08 08:09,1
2023-08-08 08:10,2
2023-08-08 08:11,3
2023-08-08 08:12,3
2023-08-08 08:13,2
2023-08-08 08:14,8
2023-08-08 08:15,8
2023-08-08 08:16,5
2023-08-08 08:17,2
2023-08-08 08:18,1
2023-08-08 08:19,1
2023-08-08 08:20,1
2023-08-08 08:21,2
2023-08-08 08:22,4
2023-08-08 08:23,12
2023-08-08 08:24,22
2023-08-08 08:25,26
2023-08-08 08:26,18
2023-08-08 08:27,15
2023-08-08 08:28,15
2023-08-08 08:29,12
2023-08-08 08:30,9
2023-08-08 08:31,10
2023-08-08 08:32,12
2023-08-08 08:33,16
2023-08-08 08:34,25
2023-08-08 08:35,1
2023-08-08 08:36,2
2023-08-08 08:37,4
2023-08-08 08:38,14
2023-08-08 08:39,15
2023-08-08 08:40,19
2023-08-08 08:41,24
2023-08-08 08:42,23
2023-08-08 08:43,10
2023-08-08 08:44,19
2023-08-08 08:45,18
2023-08-08 08:46,24
2023-08-08 08:47,23
2023-08-08 08:48,23
2023-08-08 08:49,17
2023-08-08 08:50,20
2023-08-08 08:51,25
2023-08-08 08:52,29
2023-08-08 08:53,30
2023-08-08 08:54,29
2023-08-08 08:55,15
2023-08-08 08:56,34
2023-08-08 08:57,28
2023-08-08 08:58,30
2023-08-08 08:59,32
2023-08-08 09:00,31
2023-08-08 09:01,37
2023-08-08 09:02,29
2023-08-08 09:03,46
2023-08-08 09:04,30
2023-08-08 09:05,21
2023-08-08 09:06,26
2023-08-08 09:07,22
2023-08-08 09:08,37
2023-08-08 09:09,23
2023-08-08 09:10,25
2023-08-08 09:11,23
2023-08-08 09:12,22
2023-08-08 09:13,44
2023-08-08 09:14,45
